country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",06-04-2025,28.656756,77.227234,SO2,18,58,33
India,Delhi,Delhi,"DTU, Delhi - CPCB",06-04-2025,28.7500499,77.1112615,PM10,96,453,226
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",06-04-2025,22.12665,83.483212,PM2.5,40,68,54
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",06-04-2025,22.12665,83.483212,NO2,30,42,37
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",06-04-2025,22.1910172,83.5197009,OZONE,13,40,15
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",06-04-2025,21.258815,81.578979,CO,22,36,29
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",06-04-2025,28.58028,77.233829,NH3,14,22,18
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",06-04-2025,28.58028,77.233829,SO2,4,22,12
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",06-04-2025,28.58028,77.233829,CO,39,110,89
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",06-04-2025,28.588333,77.221667,SO2,21,59,36
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",06-04-2025,28.5918245,77.2273074,PM10,NA,NA,NA
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",06-04-2025,28.611281,77.237738,NH3,15,20,17
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",06-04-2025,28.570173,76.933762,OZONE,2,232,13
India,Delhi,Delhi,"Narela, Delhi - DPCC",06-04-2025,28.822836,77.101981,SO2,9,61,30
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",06-04-2025,28.56789,77.250515,PM10,112,211,161
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",06-04-2025,28.6573814,77.1585447,NO2,15,131,64
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",06-04-2025,28.6573814,77.1585447,OZONE,8,150,11
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",06-04-2025,28.60909,77.0325413,PM10,125,271,166
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",06-04-2025,28.60909,77.0325413,NO2,45,48,46
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",06-04-2025,28.570173,76.933762,PM10,81,274,152
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",06-04-2025,28.73282,77.170633,PM10,133,498,307
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",06-04-2025,28.73282,77.170633,NO2,51,234,117
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",06-04-2025,28.58028,77.233829,PM2.5,20,303,108
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",06-04-2025,28.6811736,77.3025234,PM10,95,189,126
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",06-04-2025,28.6811736,77.3025234,SO2,5,11,8
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",06-04-2025,28.636429,77.201067,PM10,61,218,127
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",06-04-2025,28.530785,77.271255,SO2,11,33,21
India,Delhi,Delhi,"Mundka, Delhi - DPCC",06-04-2025,28.684678,77.076574,SO2,14,111,49
India,Delhi,Delhi,"Mundka, Delhi - DPCC",06-04-2025,28.684678,77.076574,NO2,33,91,62
India,Delhi,Delhi,"Pusa, Delhi - DPCC",06-04-2025,28.639652,77.146275,PM10,119,257,166
India,Delhi,Delhi,"Pusa, Delhi - DPCC",06-04-2025,28.639652,77.146275,SO2,14,53,27
India,Delhi,Delhi,"Pusa, Delhi - DPCC",06-04-2025,28.639652,77.146275,CO,2,106,8
India,Delhi,Delhi,"Pusa, Delhi - IMD",06-04-2025,28.63611,77.173332,OZONE,NA,NA,NA
